index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-06db6818-1180-38a8-66b1-13f5451b3202,580.126.09,NVIDIA GeForce RTX 3090,[N/A],Disabled,[Requested functionality has been deprecated]

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,96,24576,21159,2932,2026/06/13 09:39:59.616
0,97,24576,21159,2932,2026/06/13 09:40:04.652
0,95,24576,21159,2932,2026/06/13 09:40:09.689
0,97,24576,21159,2932,2026/06/13 09:40:14.727
0,96,24576,21159,2932,2026/06/13 09:40:19.762
0,99,24576,21159,2932,2026/06/13 09:40:24.798
0,0,24576,21159,2932,2026/06/13 09:40:29.831
0,0,24576,21159,2932,2026/06/13 09:40:34.871
0,0,24576,21159,2932,2026/06/13 09:40:39.900
0,98,24576,21159,2932,2026/06/13 09:40:44.930
0,96,24576,21159,2932,2026/06/13 09:40:49.961
0,0,24576,21159,2932,2026/06/13 09:40:54.992
0,99,24576,21159,2932,2026/06/13 09:41:00.028
0,96,24576,21159,2932,2026/06/13 09:41:05.065
0,97,24576,21159,2932,2026/06/13 09:41:10.098
0,0,24576,21159,2932,2026/06/13 09:41:15.133
0,98,24576,21159,2932,2026/06/13 09:41:20.169
0,97,24576,21159,2932,2026/06/13 09:41:25.203
0,0,24576,21159,2932,2026/06/13 09:41:30.236
0,2,24576,21159,2932,2026/06/13 09:41:35.269
